Title;Licensee;Released;Release Year;Release Month
Star Voyager;Acclaim;September 1987;1987;09
Star Wars;JVC;November 1991;1991;11
Starship Hector;Hudson Soft;June 1990;1990;06
StarTropics;Nintendo;December 1990;1990;12
Stealth ATF;Activision;October 1989;1989;10
Stinger;Konami;September 1987;1987;09
Street Cop;Bandai;June 1989;1989;06
Street Fighter 2010: The Final Fight;Capcom;September 1990;1990;09
Strider;Capcom;July 1989;1989;07
Super C;Konami;April 1990;1990;04
Super Cars;Electro Brain;February 1991;1991;02
Super Dodge Ball;Sony Imagesoft;June 1989;1989;06
Super Glove Ball;Mattel Inc.;October 1990;1990;10
Super Jeopardy!;Gametek;September 1991;1991;09
Super Mario Bros.;Nintendo;October 1985;1985;10
Super Mario Bros. 2;Nintendo;October 1988;1988;10
Super Mario Bros. 3;Nintendo;February 1990;1990;02
Super Pitfall;Activision;November 1987;1987;11
Super Spike V'Ball;Nintendo;February 1990;1990;02
Super Spy Hunter;Sunsoft;February 1992;1992;02
Super Team Games;Nintendo;November 1988;1988;11
Superman;Seika;December 1988;1988;12
Swamp Thing;THQ;December 1992;1992;12
Sword Master;Activision;January 1992;1992;01
Swords and Serpents;Acclaim;August 1990;1990;08
Taboo: The Sixth Sense;Tradewest;April 1989;1989;04
Tag Team Wrestling;Data East;October 1986;1986;10
Tale Spin;Capcom;December 1991;1991;12
Target: Renegade;Taito Software;March 1990;1990;03
Tecmo Baseball;Tecmo;January 1989;1989;01
Tecmo Bowl;Tecmo;February 1989;1989;02
Tecmo NBA Basketball;Tecmo;November 1992;1992;11
Tecmo Super Bowl;Tecmo;December 1991;1991;12
Tecmo World Cup Soccer;Tecmo;September 1992;1992;09
Tecmo World Wrestling;Tecmo;April 1990;1990;04
Teenage Mutant Ninja Turtles;Ultra Soft;June 1989;1989;06
Teenage Mutant Ninja Turtles II: The Arcade Game;Ultra Soft;December 1990;1990;12
Teenage Mutant Ninja Turtles III: The Manhattan Project;Ultra Soft;February 1992;1992;02
Teenage Mutant Ninja Turtles: Tournament Fighters;Konami;February 1994;1994;02
Tennis;Nintendo;October 1985;1985;10
Terminator 2: Judgment Day;Acclaim;February 1992;1992;02
Terminator, The;Mindscape;December 1992;1992;12
Terra Cresta;Vic Tokai;March 1990;1990;03
Tetris;Nintendo;November 1989;1989;11
Tetris 2;Nintendo;October 1993;1993;10
Three Stooges, The;Activision;October 1989;1989;10
Thunder & Lightning;Romstar;December 1990;1990;12
Thunderbirds;Activision;September 1990;1990;09
Thundercade;American Sammy;July 1989;1989;07
Tiger-Heli;Acclaim;September 1987;1987;09
Time Lord;Milton Bradley;September 1990;1990;09
Times of Lore;Toho;May 1991;1991;05
Tiny Toon Adventures;Konami;December 1991;1991;12
Tiny Toon Adventures 2: Trouble in Wackyland;Konami;April 1993;1993;04
Tiny Toon Adventures Cartoon Workshop;Konami;December 1992;1992;12
To the Earth;Nintendo;November 1989;1989;11
Toki;Taito Software;December 1991;1991;12
Tom & Jerry;Hi-Tech;December 1991;1991;12
Tombs & Treasure;Activision;June 1991;1991;06
Top Gun;Konami;November 1987;1987;11
Top Gun: The Second Mission;Konami;January 1990;1990;01
Total Recall;Acclaim;August 1990;1990;08
Totally Rad;Jaleco;March 1991;1991;03
Touchdown Fever;SNK;February 1991;1991;02
Town & Country II: Thrilla's Surfari;Acclaim;March 1992;1992;03
Town & Country Surf Designs;LJN;February 1988;1988;02
Toxic Crusaders;Bandai;April 1992;1992;04
Track & Field;Konami;April 1987;1987;04
Track & Field II;Konami;June 1989;1989;06
Treasure Master;American Softworks;December 1991;1991;12
Trog;Acclaim;October 1991;1991;10
Trojan;Capcom;February 1987;1987;02
Twin Cobra;American Sammy;January 1990;1990;01
Twin Eagle;Romstar;October 1989;1989;10
Ultima: Exodus;FCI;February 1989;1989;02
Ultima: Quest of the Avatar;FCI;December 1990;1990;12
Ultima: Warriors of Destiny;FCI;January 1993;1993;01
Ultimate Air Combat;Activision;April 1992;1992;04
Ultimate Basketball;American Sammy;September 1990;1990;09
Uncharted Waters;Koei;November 1991;1991;11
Uninvited;Seika;June 1991;1991;06
Untouchables, The;Ocean;January 1991;1991;01
Urban Champion;Nintendo;June 1986;1986;06
Vegas Dream;Hal America;March 1990;1990;03
Vice: Project Doom;American Sammy;November 1991;1991;11
Videomation;THQ;June 1991;1991;06
Volleyball;Nintendo;March 1987;1987;03
Wacky Races;Atlus Software;May 1992;1992;05
Wall Street Kid;Sofel;June 1990;1990;06
Wario's Woods;Nintendo;December 1994;1994;12
Wayne Gretzky Hockey;THQ;January 1991;1991;01
Wayne's World;THQ;November 1993;1993;11
Werewolf: The Last Warrior;Data East;November 1990;1990;11
Wheel of Fortune;Gametek;September 1988;1988;09
Wheel of Fortune: Family Edition;Gametek;March 1990;1990;03
Wheel of Fortune: Featuring Vanna White;Gametek;January 1992;1992;01
Wheel of Fortune: Jr.;Gametek;October 1989;1989;10
Where in Time is Carmen Sandiego?;Konami;October 1991;1991;10
Where's Waldo?;THQ;September 1991;1991;09
Who Framed Roger Rabbit?;LJN;September 1989;1989;09
Whomp 'Em;Jaleco;March 1991;1991;03
Widget;Atlus Software;November 1992;1992;11
Wild Gunman;Nintendo;October 1985;1985;10
Willow;Capcom;December 1989;1989;12
Win, Lose or Draw;Hi-Tech;March 1990;1990;03
Winter Games;Acclaim;September 1987;1987;09
Wizardry II: Knight of Diamonds;Ascii;April 1992;1992;04
Wizardry: Proving Grounds of the Mad Overlord;Ascii;July 1990;1990;07
Wizards & Warriors;Acclaim;December 1987;1987;12
Wizards & Warriors III;Acclaim;March 1992;1992;03
Wolverine;LJN;October 1991;1991;10
World Champ;Romstar;April 1991;1991;04
World Championship Wrestling;FCI;April 1990;1990;04
World Class Track Meet;Nintendo;August 1988;1988;08
World Games;Milton Bradley;March 1989;1989;03
Wrath of the Black Manta;Taito Software;April 1990;1990;04
Wrecking Crew;Nintendo;October 1985;1985;10
WrestleMania;Acclaim;January 1989;1989;01
Wurm: Journey to the Center of the Earth;Asmik;November 1991;1991;11
WWF King of the Ring;LJN;November 1993;1993;11
WWF Wrestlemania Challenge;LJN;November 1990;1990;11
WWF Wrestlemania: Steel Cage Challenge;Acclaim;September 1992;1992;09
Xenophobe;Sunsoft;December 1988;1988;12
Xevious;Bandai;September 1988;1988;09
Xexyz;Hudson Soft;April 1990;1990;04
Yo! Noid;Capcom;November 1990;1990;11
Yoshi;Nintendo;June 1992;1992;06
Yoshi's Cookie;Nintendo;April 1993;1993;04
Young Indiana Jones Chronicles, The;Jaleco;December 1992;1992;12
Zanac;FCI;October 1987;1987;10
Zelda II: The Adventure of Link;Nintendo;December 1988;1988;12
Zen: Intergalactic Ninja;Konami;March 1993;1993;03
Zoda's Revenge: StarTropics II;Nintendo;March 1994;1994;03
Zombie Nation;Meldac;September 1991;1991;09
