Title;Licensee;Released;Release Year;Release Month
Dick Tracy;Bandai;August 1990;1990;08
Die Hard;Activision;January 1992;1992;01
Dig Dug II;Bandai;December 1989;1989;12
Digger T. Rock: Legend of the Lost City;Milton Bradley;December 1990;1990;12
Dirty Harry: The War Against Drugs;Mindscape;December 1990;1990;12
Donkey Kong;Nintendo;June 1986;1986;06
Donkey Kong 3;Nintendo;June 1986;1986;06
Donkey Kong Classics;Nintendo;October 1988;1988;10
Donkey Kong Jr.;Nintendo;June 1986;1986;06
Donkey Kong Jr. Math;Nintendo;October 1985;1985;10
Double Dare;Gametek;April 1990;1990;04
Double Dragon;Tradewest;June 1988;1988;06
Double Dragon II: The Revenge;Acclaim;January 1990;1990;01
Double Dragon III: The Sacred Stone;Acclaim;February 1991;1991;02
Double Dribble;Konami;September 1987;1987;09
Dr. Chaos;FCI;November 1988;1988;11
Dr. Jekyll & Mr. Hyde;Bandai;April 1989;1989;04
Dr. Mario;Nintendo;October 1990;1990;10
Dragon Fighter;Sofel;January 1992;1992;01
Dragon Power;Bandai;March 1988;1988;03
Dragon Spirit: The New Legend;Bandai;June 1990;1990;06
Dragon Warrior;Nintendo;August 1989;1989;08
Dragon Warrior II;Enix;September 1990;1990;09
Dragon Warrior III;Enix;March 1992;1992;03
Dragon Warrior IV;Enix;October 1992;1992;10
Dragon's Lair;Sony Imagesoft;December 1990;1990;12
Duck Hunt;Nintendo;October 1985;1985;10
Duck Tales;Capcom;September 1989;1989;09
Duck Tales II;Capcom;June 1993;1993;06
Dungeon Magic;Taito Software;July 1990;1990;07
Dusty Diamond's All-Star Softball;Broderbund;July 1990;1990;07
Dynowarz: The Destruction of Spondylus;Bandai;April 1990;1990;04
Elevator Action;Taito Software;August 1987;1987;08
Eliminator Boat Duel;Electro Brain;November 1991;1991;11
Empire Strikes Back, The;JVC;March 1992;1992;03
Evert & Lendl Top Player's Tennis;Asmik;January 1990;1990;01
Excitebike;Nintendo;October 1985;1985;10
F-117A Stealth Fighter;Microprose;December 1992;1992;12
F-15 Strike Eagle;Microprose;February 1992;1992;02
Family Feud;Gametek;May 1991;1991;05
Faria: A World of Mystery & Danger;Ascii;June 1991;1991;06
Faxanadu;Nintendo;August 1989;1989;08
Felix the Cat;Hudson Soft;October 1992;1992;10
Ferrari Grand Prix Challenge;Acclaim;June 1992;1992;06
Fester's Quest;Sunsoft;September 1989;1989;09
Final Fantasy;Nintendo;May 1990;1990;05
Fire 'N Ice;Tecmo;March 1993;1993;03
Fisher Price: Firehouse Rescue;Gametek;March 1992;1992;03
Fisher Price: I Can Remember;Gametek;March 1990;1990;03
Fisher Price: Perfect Fit;Gametek;March 1990;1990;03
Fist of the North Star;Taxan;April 1989;1989;04
Flight of the Intruder;Mindscape;May 1991;1991;05
Flintstones, The;Taito Software;December 1991;1991;12
Flintstones: The Surprise at Dinosaur Peak, The;Taito Software;August 1994;1994;08
Flying Dragon: The Secret Scroll;Culture Brain;August 1989;1989;08
Flying Warriors;Culture Brain;February 1991;1991;02
Formula 1: Built to Win;Seta;November 1990;1990;11
Frankenstein: The Monster Returns;Bandai;July 1991;1991;07
Freedom Force;Sunsoft;April 1988;1988;04
Friday the 13th;LJN;February 1989;1989;02
